ResponseId,Q1002,qname,dollars,priority,priority_other
R_2WuOlTB7EeMsGBR,I have used tidymodels packages a few times,Q5_1,10,Survival analysis,NA
R_2WuOlTB7EeMsGBR,I have used tidymodels packages a few times,Q5_2,0,Support for sparse data structures,NA
R_2WuOlTB7EeMsGBR,I have used tidymodels packages a few times,Q5_3,30,Adaptive resampling and better parallelization,NA
R_2WuOlTB7EeMsGBR,I have used tidymodels packages a few times,Q5_4,15,"Model monitoring, updating, & organization",NA
R_2WuOlTB7EeMsGBR,I have used tidymodels packages a few times,Q5_5,0,Translate prediction equations,NA
R_2WuOlTB7EeMsGBR,I have used tidymodels packages a few times,Q5_6,30,Model stacking ,NA
R_2WuOlTB7EeMsGBR,I have used tidymodels packages a few times,Q5_8,15,Post-processing in workflow(),NA
R_2WuOlTB7EeMsGBR,I have used tidymodels packages a few times,Q5_9,0,Ignore recipe steps,NA
R_2WuOlTB7EeMsGBR,I have used tidymodels packages a few times,Q5_10,0,H2O.ai support ,NA
R_2WuOlTB7EeMsGBR,I have used tidymodels packages a few times,Q5_12,0,Other,NA
R_1d67jKVzxkHxkh2,I have used tidymodels packages a few times,Q5_1,20,Survival analysis,NA
R_1d67jKVzxkHxkh2,I have used tidymodels packages a few times,Q5_2,0,Support for sparse data structures,NA
R_1d67jKVzxkHxkh2,I have used tidymodels packages a few times,Q5_3,10,Adaptive resampling and better parallelization,NA
R_1d67jKVzxkHxkh2,I have used tidymodels packages a few times,Q5_4,20,"Model monitoring, updating, & organization",NA
R_1d67jKVzxkHxkh2,I have used tidymodels packages a few times,Q5_5,0,Translate prediction equations,NA
R_1d67jKVzxkHxkh2,I have used tidymodels packages a few times,Q5_6,30,Model stacking ,NA
R_1d67jKVzxkHxkh2,I have used tidymodels packages a few times,Q5_8,10,Post-processing in workflow(),NA
R_1d67jKVzxkHxkh2,I have used tidymodels packages a few times,Q5_9,10,Ignore recipe steps,NA
R_1d67jKVzxkHxkh2,I have used tidymodels packages a few times,Q5_10,0,H2O.ai support ,NA
