ResponseId,Q1002,Q12,qname,dollars,priority,priority_other
R_em5oFqpMlrWH60N,I have never used tidymodels,I work in industry,Q5_1,0,Model fairness analysis and metrics,NA
R_em5oFqpMlrWH60N,I have never used tidymodels,I work in industry,Q5_2,0,Supervised feature selection,NA
R_em5oFqpMlrWH60N,I have never used tidymodels,I work in industry,Q5_3,0,Probability calibration (post modeling),NA
R_em5oFqpMlrWH60N,I have never used tidymodels,I work in industry,Q5_4,0,Probability threshold optimization,NA
R_em5oFqpMlrWH60N,I have never used tidymodels,I work in industry,Q5_5,0,Spatial analysis models and methods,NA
R_em5oFqpMlrWH60N,I have never used tidymodels,I work in industry,Q5_6,0,Better serialization tools ,NA
R_em5oFqpMlrWH60N,I have never used tidymodels,I work in industry,Q5_10,100,H2O.ai support ,NA
R_em5oFqpMlrWH60N,I have never used tidymodels,I work in industry,Q5_12,0,Other,NA
R_2ALLmrcNLaUBit0,I have used tidymodels packages a few times,I work in industry,Q5_1,25,Model fairness analysis and metrics,NA
R_2ALLmrcNLaUBit0,I have used tidymodels packages a few times,I work in industry,Q5_2,0,Supervised feature selection,NA
R_2ALLmrcNLaUBit0,I have used tidymodels packages a few times,I work in industry,Q5_3,25,Probability calibration (post modeling),NA
R_2ALLmrcNLaUBit0,I have used tidymodels packages a few times,I work in industry,Q5_4,0,Probability threshold optimization,NA
R_2ALLmrcNLaUBit0,I have used tidymodels packages a few times,I work in industry,Q5_5,50,Spatial analysis models and methods,NA
R_2ALLmrcNLaUBit0,I have used tidymodels packages a few times,I work in industry,Q5_6,0,Better serialization tools ,NA
R_2ALLmrcNLaUBit0,I have used tidymodels packages a few times,I work in industry,Q5_10,0,H2O.ai support ,NA
R_2ALLmrcNLaUBit0,I have used tidymodels packages a few times,I work in industry,Q5_12,0,Other,NA
R_1Ka9KhBoVlqJj0E,I have never used tidymodels,I am a student,Q5_1,10,Model fairness analysis and metrics,Ordinal logistic models
R_1Ka9KhBoVlqJj0E,I have never used tidymodels,I am a student,Q5_2,20,Supervised feature selection,Ordinal logistic models
R_1Ka9KhBoVlqJj0E,I have never used tidymodels,I am a student,Q5_3,10,Probability calibration (post modeling),Ordinal logistic models
R_1Ka9KhBoVlqJj0E,I have never used tidymodels,I am a student,Q5_4,10,Probability threshold optimization,Ordinal logistic models
R_1Ka9KhBoVlqJj0E,I have never used tidymodels,I am a student,Q5_5,25,Spatial analysis models and methods,Ordinal logistic models
R_1Ka9KhBoVlqJj0E,I have never used tidymodels,I am a student,Q5_6,10,Better serialization tools ,Ordinal logistic models
R_1Ka9KhBoVlqJj0E,I have never used tidymodels,I am a student,Q5_10,10,H2O.ai support ,Ordinal logistic models
R_1Ka9KhBoVlqJj0E,I have never used tidymodels,I am a student,Q5_12,5,Other,Ordinal logistic models
R_2zx6nCf94O4BFaS,I have used tidymodels packages many times,I work in industry,Q5_1,0,Model fairness analysis and metrics,NA
R_2zx6nCf94O4BFaS,I have used tidymodels packages many times,I work in industry,Q5_2,60,Supervised feature selection,NA
