title,topic,package
A CART classification tree tuned via racing,<a href='https://shinymodels.tidymodels.org/reference/cell_race.html' target='_blank'><tt>cell_race</tt></a>,shinymodels
A convenience function for confidence intervals with linear-ish parametric models,<a href='https://rsample.tidymodels.org/reference/reg_intervals.html' target='_blank'><tt>reg_intervals</tt></a>,rsample
A scoring function,<a href='https://applicable.tidymodels.org/reference/score.html' target='_blank'><tt>score</tt></a>,applicable
A scoring function,<a href='https://applicable.tidymodels.org/reference/score.html' target='_blank'><tt>score.default</tt></a>,applicable
A wrapper function for conditional inference tree models,<a href='https://parsnip.tidymodels.org//reference/ctree_train.html' target='_blank'><tt>ctree_train</tt></a>,parsnip
A wrapper function for conditional inference tree models,<a href='https://parsnip.tidymodels.org//reference/ctree_train.html' target='_blank'><tt>cforest_train</tt></a>,parsnip
Accuracy,<a href='https://yardstick.tidymodels.org/reference/accuracy.html' target='_blank'><tt>accuracy</tt></a>,yardstick
Accuracy,<a href='https://yardstick.tidymodels.org/reference/accuracy.html' target='_blank'><tt>accuracy.data.frame</tt></a>,yardstick
Accuracy,<a href='https://yardstick.tidymodels.org/reference/accuracy.html' target='_blank'><tt>accuracy_vec</tt></a>,yardstick
Acquisition function for scoring parameter combinations,<a href='https://tune.tidymodels.org//reference/prob_improve.html' target='_blank'><tt>prob_improve</tt></a>,tune
Acquisition function for scoring parameter combinations,<a href='https://tune.tidymodels.org//reference/prob_improve.html' target='_blank'><tt>exp_improve</tt></a>,tune
Acquisition function for scoring parameter combinations,<a href='https://tune.tidymodels.org//reference/prob_improve.html' target='_blank'><tt>conf_bound</tt></a>,tune
Activation functions between network layers,<a href='https://dials.tidymodels.org/reference/activation.html' target='_blank'><tt>activation</tt></a>,dials
Activation functions between network layers,<a href='https://dials.tidymodels.org/reference/activation.html' target='_blank'><tt>activation_2</tt></a>,dials
Activation functions between network layers,<a href='https://dials.tidymodels.org/reference/activation.html' target='_blank'><tt>values_activation</tt></a>,dials
Activation functions for neural networks in brulee,<a href='https://brulee.tidymodels.org//reference/brulee_activations.html' target='_blank'><tt>brulee_activations</tt></a>,brulee
Adaptive Synthetic Algorithm,<a href='https://themis.tidymodels.org/reference/adasyn.html' target='_blank'><tt>adasyn</tt></a>,themis
Add a <code>class_pred</code> column,<a href='https://probably.tidymodels.org/reference/append_class_pred.html' target='_blank'><tt>append_class_pred</tt></a>,probably
Add a column of row numbers to a data frame,<a href='https://parsnip.tidymodels.org//reference/add_rowindex.html' target='_blank'><tt>add_rowindex</tt></a>,parsnip
Add a first column to a data.frame,<a href='https://corrr.tidymodels.org/reference/first_col.html' target='_blank'><tt>first_col</tt></a>,corrr
Add a model to a workflow,<a href='https://workflows.tidymodels.org/reference/add_model.html' target='_blank'><tt>add_model</tt></a>,workflows
Add a model to a workflow,<a href='https://workflows.tidymodels.org/reference/add_model.html' target='_blank'><tt>remove_model</tt></a>,workflows
Add a model to a workflow,<a href='https://workflows.tidymodels.org/reference/add_model.html' target='_blank'><tt>update_model</tt></a>,workflows
Add a New Operation to the Current Recipe,<a href='https://recipes.tidymodels.org//reference/add_step.html' target='_blank'><tt>add_step</tt></a>,recipes
Add a New Operation to the Current Recipe,<a href='https://recipes.tidymodels.org//reference/add_step.html' target='_blank'><tt>add_check</tt></a>,recipes
Add a recipe to a workflow,<a href='https://workflows.tidymodels.org/reference/add_recipe.html' target='_blank'><tt>add_recipe</tt></a>,workflows
Add a recipe to a workflow,<a href='https://workflows.tidymodels.org/reference/add_recipe.html' target='_blank'><tt>remove_recipe</tt></a>,workflows
Add a recipe to a workflow,<a href='https://workflows.tidymodels.org/reference/add_recipe.html' target='_blank'><tt>update_recipe</tt></a>,workflows
Add an intercept column to <code>data</code>,<a href='https://hardhat.tidymodels.org/reference/add_intercept_column.html' target='_blank'><tt>add_intercept_column</tt></a>,hardhat
Add and edit options saved in a workflow set,<a href='https://workflowsets.tidymodels.org/reference/option_add.html' target='_blank'><tt>option_add</tt></a>,workflowsets
Add and edit options saved in a workflow set,<a href='https://workflowsets.tidymodels.org/reference/option_add.html' target='_blank'><tt>option_remove</tt></a>,workflowsets
Add and edit options saved in a workflow set,<a href='https://workflowsets.tidymodels.org/reference/option_add.html' target='_blank'><tt>option_add_parameters</tt></a>,workflowsets
Add annotations and comments for workflows,<a href='https://workflowsets.tidymodels.org/reference/comment_add.html' target='_blank'><tt>comment_add</tt></a>,workflowsets
