title,topic,package
Apply Adaptive Synthetic Algorithm,<a href='https://themis.tidymodels.org/reference/step_adasyn.html' target='_blank'><tt>tidy.step_adasyn</tt></a>,themis
Apply borderline-SMOTE Algorithm,<a href='https://themis.tidymodels.org/reference/step_bsmote.html' target='_blank'><tt>tidy.step_bsmote</tt></a>,themis
Apply ROSE Algorithm,<a href='https://themis.tidymodels.org/reference/step_rose.html' target='_blank'><tt>tidy.step_rose</tt></a>,themis
Apply SMOTE Algorithm,<a href='https://themis.tidymodels.org/reference/step_smote.html' target='_blank'><tt>tidy.step_smote</tt></a>,themis
Apply SMOTENC algorithm,<a href='https://themis.tidymodels.org/reference/step_smotenc.html' target='_blank'><tt>tidy.step_smotenc</tt></a>,themis
Augment a beezdemand_fixed Model with Fitted Values and Residuals,<a href='https://brentkaplan.github.io/beezdemand//reference/augment.beezdemand_fixed.html' target='_blank'><tt>augment.beezdemand_fixed</tt></a>,beezdemand
Augment a beezdemand_hurdle Model with Fitted Values and Residuals,<a href='https://brentkaplan.github.io/beezdemand//reference/augment.beezdemand_hurdle.html' target='_blank'><tt>augment.beezdemand_hurdle</tt></a>,beezdemand
Augment a beezdemand_nlme Model with Fitted Values and Residuals,<a href='https://brentkaplan.github.io/beezdemand//reference/augment.beezdemand_nlme.html' target='_blank'><tt>augment.beezdemand_nlme</tt></a>,beezdemand
Augment a coxphf object,<a href='https://cemsiis.meduniwien.ac.at/kb/wf/software/statistische-software/fccoxphf/' target='_blank'><tt>augment.coxphf</tt></a>,coxphf
Augment a data.frame with the results from average_curve_lm,<a href='https://cmstatrExt.cmstatr.net/reference/augment.average_curve_lm.html' target='_blank'><tt>augment.average_curve_lm</tt></a>,cmstatrExt
Augment a data.frame with the results from average_curve_optim,<a href='https://cmstatrExt.cmstatr.net/reference/augment.average_curve_optim.html' target='_blank'><tt>augment.average_curve_optim</tt></a>,cmstatrExt
Augment a mable,<a href='https://fabletools.tidyverts.org//reference/augment.html' target='_blank'><tt>augment.mdl_df</tt></a>,fabletools
Augment a mable,<a href='https://fabletools.tidyverts.org//reference/augment.html' target='_blank'><tt>augment.mdl_ts</tt></a>,fabletools
Augment a model stack,<a href='https://stacks.tidymodels.org//reference/augment.model_stack.html' target='_blank'><tt>augment.model_stack</tt></a>,stacks
Augment a rulelist,<a href='https://talegari.github.io/tidyrules//reference/augment.rulelist.html' target='_blank'><tt>augment.rulelist</tt></a>,tidyrules
Augment an mvgam object's data,<a href='https://nicholasjclark.github.io/mvgam//reference/augment.mvgam.html' target='_blank'><tt>augment.mvgam</tt></a>,mvgam
Augment BVAR outputs and convert into a tibble,<a href='https://github.com/nk027/bvarverse' target='_blank'><tt>augment.bvar</tt></a>,BVARverse
Augment BVAR outputs and convert into a tibble,<a href='https://github.com/nk027/bvarverse' target='_blank'><tt>augment.bvar_fcast</tt></a>,BVARverse
Augment BVAR outputs and convert into a tibble,<a href='https://github.com/nk027/bvarverse' target='_blank'><tt>augment.bvar_irf</tt></a>,BVARverse
Augment data frame with information derived from the model fit (broom package).,<a href='https://r-forge.r-project.org/projects/r2mlwin//reference/augment.mlwinfitIGLS.html' target='_blank'><tt>augment.mlwinfitIGLS</tt></a>,R2MLwiN
Augment data frame with information derived from the model fit (broom package).,<a href='https://r-forge.r-project.org/projects/r2mlwin//reference/augment.mlwinfitMCMC.html' target='_blank'><tt>augment.mlwinfitMCMC</tt></a>,R2MLwiN
Augment data from an ipd fit,<a href='https://ipd-tools.github.io/ipd//reference/augment.ipd.html' target='_blank'><tt>augment.ipd</tt></a>,ipd
Augment data with dr4pl,<a href='https://bitbucket.org/dittmerlab/dr4pl' target='_blank'><tt>augment.dr4pl</tt></a>,dr4pl
Augment data with holdout predictions,<a href='https://tune.tidymodels.org//reference/augment.tune_results.html' target='_blank'><tt>augment.tune_results</tt></a>,tune
Augment data with holdout predictions,<a href='https://tune.tidymodels.org//reference/augment.tune_results.html' target='_blank'><tt>augment.resample_results</tt></a>,tune
Augment data with holdout predictions,<a href='https://tune.tidymodels.org//reference/augment.tune_results.html' target='_blank'><tt>augment.last_fit</tt></a>,tune
Augment data with information from a cosinor object,<a href='https://cran.r-project.org/package=card' target='_blank'><tt>augment.cosinor</tt></a>,card
Augment data with information from a flexsurv model object,<a href='http://chjackson.github.io/flexsurv//reference/augment.flexsurvreg.html' target='_blank'><tt>augment.flexsurvreg</tt></a>,flexsurv
Augment data with information from a graph_lme object,<a href='https://davidbolin.github.io/MetricGraph//reference/augment.graph_lme.html' target='_blank'><tt>augment.graph_lme</tt></a>,MetricGraph
Augment data with information from a gt_dapc object,<a href='https://evolecolgroup.github.io/tidypopgen//reference/augment.gt_dapc.html' target='_blank'><tt>augment.gt_dapc</tt></a>,tidypopgen
Augment data with information from a gt_pca object,<a href='https://evolecolgroup.github.io/tidypopgen//reference/augment_gt_pca.html' target='_blank'><tt>augment.gt_pca</tt></a>,tidypopgen
Augment data with information from a mixpoissonreg object,<a href='https://github.com/vpnsctl/mixpoissonreg/' target='_blank'><tt>augment.mixpoissonreg</tt></a>,mixpoissonreg
Augment data with information from a q_matrix object,<a href='https://evolecolgroup.github.io/tidypopgen//reference/augment_q_matrix.html' target='_blank'><tt>augment.q_matrix</tt></a>,tidypopgen
Augment data with information from a(n) betamfx object,<a href='https://broom.tidymodels.org//reference/augment.betamfx.html' target='_blank'><tt>augment.betamfx</tt></a>,broom
Augment data with information from a(n) betareg object,<a href='https://broom.tidymodels.org//reference/augment.betareg.html' target='_blank'><tt>augment.betareg</tt></a>,broom
Augment data with information from a(n) clm object,<a href='https://broom.tidymodels.org//reference/augment.clm.html' target='_blank'><tt>augment.clm</tt></a>,broom
Augment data with information from a(n) coxph object,<a href='https://broom.tidymodels.org//reference/augment.coxph.html' target='_blank'><tt>augment.coxph</tt></a>,broom
Augment data with information from a(n) decomposed.ts object,<a href='https://broom.tidymodels.org//reference/augment.decomposed.ts.html' target='_blank'><tt>augment.decomposed.ts</tt></a>,broom
Augment data with information from a(n) drc object,<a href='https://broom.tidymodels.org//reference/augment.drc.html' target='_blank'><tt>augment.drc</tt></a>,broom
Augment data with information from a(n) factanal object,<a href='https://broom.tidymodels.org//reference/augment.factanal.html' target='_blank'><tt>augment.factanal</tt></a>,broom
Augment data with information from a(n) felm object,<a href='https://broom.tidymodels.org//reference/augment.felm.html' target='_blank'><tt>augment.felm</tt></a>,broom
Augment data with information from a(n) fixest object,<a href='https://broom.tidymodels.org//reference/augment.fixest.html' target='_blank'><tt>augment.fixest</tt></a>,broom
Augment data with information from a(n) gam object,<a href='https://broom.tidymodels.org//reference/augment.gam.html' target='_blank'><tt>augment.gam</tt></a>,broom
Augment data with information from a(n) glm object,<a href='https://broom.tidymodels.org//reference/augment.glm.html' target='_blank'><tt>augment.glm</tt></a>,broom
Augment data with information from a(n) glmRob object,<a href='https://broom.tidymodels.org//reference/augment.glmRob.html' target='_blank'><tt>augment.glmRob</tt></a>,broom
Augment data with information from a(n) glmrob object,<a href='https://broom.tidymodels.org//reference/augment.robustbase.glmrob.html' target='_blank'><tt>augment.glmrob</tt></a>,broom
Augment data with information from a(n) htest object,<a href='https://broom.tidymodels.org//reference/augment.htest.html' target='_blank'><tt>augment.htest</tt></a>,broom
Augment data with information from a(n) ivreg object,<a href='https://broom.tidymodels.org//reference/augment.ivreg.html' target='_blank'><tt>augment.ivreg</tt></a>,broom
Augment data with information from a(n) kmeans object,<a href='https://broom.tidymodels.org//reference/augment.kmeans.html' target='_blank'><tt>augment.kmeans</tt></a>,broom
Augment data with information from a(n) lm object,<a href='https://broom.tidymodels.org//reference/augment.lm.html' target='_blank'><tt>augment.lm</tt></a>,broom
Augment data with information from a(n) lmRob object,<a href='https://broom.tidymodels.org//reference/augment.lmRob.html' target='_blank'><tt>augment.lmRob</tt></a>,broom
Augment data with information from a(n) lmrob object,<a href='https://broom.tidymodels.org//reference/augment.robustbase.lmrob.html' target='_blank'><tt>augment.lmrob</tt></a>,broom
Augment data with information from a(n) Mclust object,<a href='https://broom.tidymodels.org//reference/augment.Mclust.html' target='_blank'><tt>augment.Mclust</tt></a>,broom
Augment data with information from a(n) mfx object,<a href='https://broom.tidymodels.org//reference/augment.mfx.html' target='_blank'><tt>augment.mfx</tt></a>,broom
