title,model,engine,url,topic,mode,package
C5.0 rule-based classification models,C5_rules,C5.0,https://parsnip.tidymodels.org/reference/details_C5_rules_C5.0.html,<a href='https://parsnip.tidymodels.org/reference/details_C5_rules_C5.0.html' target='_blank'><tt>C5_rules_C5.0</tt></a>,classification,rules
ADAM Regression Models,adam_reg,adam,https://business-science.github.io/modeltime/reference/adam_reg.html,<a href='https://business-science.github.io/modeltime/reference/adam_reg.html' target='_blank'><tt>adam_reg</tt></a>,regression,modeltime
ADAM Regression Models,adam_reg,auto_adam,https://business-science.github.io/modeltime/reference/adam_reg.html,<a href='https://business-science.github.io/modeltime/reference/adam_reg.html' target='_blank'><tt>adam_reg</tt></a>,regression,modeltime
"""Boosted"" ARIMA Regression Models",arima_boost,arima_xgboost,https://business-science.github.io/modeltime/reference/arima_boost.html,<a href='https://business-science.github.io/modeltime/reference/arima_boost.html' target='_blank'><tt>arima_boost</tt></a>,regression,modeltime
"""Boosted"" ARIMA Regression Models",arima_boost,auto_arima_xgboost,https://business-science.github.io/modeltime/reference/arima_boost.html,<a href='https://business-science.github.io/modeltime/reference/arima_boost.html' target='_blank'><tt>arima_boost</tt></a>,regression,modeltime
Adaptive fast ARIMA model specification,arima_fast_model,arima_fast,https://microsoft.github.io/finnts/reference/arima_fast_model.html,<a href='https://microsoft.github.io/finnts/reference/arima_fast_model.html' target='_blank'><tt>arima_fast_model</tt></a>,regression,finnts
ARIMA Regression Models,arima_reg,arima,https://business-science.github.io/modeltime/reference/arima_reg.html,<a href='https://business-science.github.io/modeltime/reference/arima_reg.html' target='_blank'><tt>arima_reg</tt></a>,regression,modeltime
ARIMA Regression Models,arima_reg,auto_arima,https://business-science.github.io/modeltime/reference/arima_reg.html,<a href='https://business-science.github.io/modeltime/reference/arima_reg.html' target='_blank'><tt>arima_reg</tt></a>,regression,modeltime
Automatic machine learning via h2o,auto_ml,h2o,https://parsnip.tidymodels.org/reference/details_auto_ml_h2o.html,<a href='https://parsnip.tidymodels.org/reference/details_auto_ml_h2o.html' target='_blank'><tt>auto_ml_h2o</tt></a>,classification,agua
Automatic machine learning via h2o,auto_ml,h2o,https://parsnip.tidymodels.org/reference/details_auto_ml_h2o.html,<a href='https://parsnip.tidymodels.org/reference/details_auto_ml_h2o.html' target='_blank'><tt>auto_ml_h2o</tt></a>,regression,agua
Bagged MARS via earth,bag_mars,earth,https://parsnip.tidymodels.org/reference/details_bag_mars_earth.html,<a href='https://parsnip.tidymodels.org/reference/details_bag_mars_earth.html' target='_blank'><tt>bag_mars_earth</tt></a>,classification,baguette
Bagged MARS via earth,bag_mars,earth,https://parsnip.tidymodels.org/reference/details_bag_mars_earth.html,<a href='https://parsnip.tidymodels.org/reference/details_bag_mars_earth.html' target='_blank'><tt>bag_mars_earth</tt></a>,regression,baguette
Bagged neural networks via nnet,bag_mlp,nnet,https://parsnip.tidymodels.org/reference/details_bag_mlp_nnet.html,<a href='https://parsnip.tidymodels.org/reference/details_bag_mlp_nnet.html' target='_blank'><tt>bag_mlp_nnet</tt></a>,classification,baguette
Bagged neural networks via nnet,bag_mlp,nnet,https://parsnip.tidymodels.org/reference/details_bag_mlp_nnet.html,<a href='https://parsnip.tidymodels.org/reference/details_bag_mlp_nnet.html' target='_blank'><tt>bag_mlp_nnet</tt></a>,regression,baguette
Bagged trees via C5.0,bag_tree,C5.0,https://parsnip.tidymodels.org/reference/details_bag_tree_C5.0.html,<a href='https://parsnip.tidymodels.org/reference/details_bag_tree_C5.0.html' target='_blank'><tt>bag_tree_C5.0</tt></a>,classification,baguette
Bagged trees via rpart,bag_tree,rpart,https://parsnip.tidymodels.org/reference/details_bag_tree_rpart.html,<a href='https://parsnip.tidymodels.org/reference/details_bag_tree_rpart.html' target='_blank'><tt>bag_tree_rpart</tt></a>,classification,baguette
Bagged trees via rpart,bag_tree,rpart,https://parsnip.tidymodels.org/reference/details_bag_tree_rpart.html,<a href='https://parsnip.tidymodels.org/reference/details_bag_tree_rpart.html' target='_blank'><tt>bag_tree_rpart</tt></a>,regression,baguette
Bagged trees via rpart,bag_tree,rpart,https://parsnip.tidymodels.org/reference/details_bag_tree_rpart.html,<a href='https://parsnip.tidymodels.org/reference/details_bag_tree_rpart.html' target='_blank'><tt>bag_tree_rpart</tt></a>,censored regression,censored
Bayesian additive regression trees via dbarts,bart,dbarts,https://parsnip.tidymodels.org/reference/details_bart_dbarts.html,<a href='https://parsnip.tidymodels.org/reference/details_bart_dbarts.html' target='_blank'><tt>bart_dbarts</tt></a>,classification,parsnip
Bayesian additive regression trees via dbarts,bart,dbarts,https://parsnip.tidymodels.org/reference/details_bart_dbarts.html,<a href='https://parsnip.tidymodels.org/reference/details_bart_dbarts.html' target='_blank'><tt>bart_dbarts</tt></a>,regression,parsnip
Boosted trees via C5.0,boost_tree,C5.0,https://parsnip.tidymodels.org/reference/details_boost_tree_C5.0.html,<a href='https://parsnip.tidymodels.org/reference/details_boost_tree_C5.0.html' target='_blank'><tt>boost_tree_C5.0</tt></a>,classification,parsnip
Boosted trees via catboost,boost_tree,catboost,https://parsnip.tidymodels.org/reference/details_boost_tree_catboost.html,<a href='https://parsnip.tidymodels.org/reference/details_boost_tree_catboost.html' target='_blank'><tt>boost_tree_catboost</tt></a>,regression,bonsai
Boosted trees via catboost,boost_tree,catboost,https://parsnip.tidymodels.org/reference/details_boost_tree_catboost.html,<a href='https://parsnip.tidymodels.org/reference/details_boost_tree_catboost.html' target='_blank'><tt>boost_tree_catboost</tt></a>,classification,bonsai
Boosted trees via h2o,boost_tree,h2o,https://parsnip.tidymodels.org/reference/details_boost_tree_h2o.html,<a href='https://parsnip.tidymodels.org/reference/details_boost_tree_h2o.html' target='_blank'><tt>boost_tree_h2o</tt></a>,classification,agua
Boosted trees via h2o,boost_tree,h2o,https://parsnip.tidymodels.org/reference/details_boost_tree_h2o.html,<a href='https://parsnip.tidymodels.org/reference/details_boost_tree_h2o.html' target='_blank'><tt>boost_tree_h2o</tt></a>,regression,agua
Boosted trees,boost_tree,h2o_gbm,https://parsnip.tidymodels.org/reference/boost_tree.html,<a href='https://parsnip.tidymodels.org/reference/boost_tree.html' target='_blank'><tt>boost_tree</tt></a>,classification,agua
Boosted trees,boost_tree,h2o_gbm,https://parsnip.tidymodels.org/reference/boost_tree.html,<a href='https://parsnip.tidymodels.org/reference/boost_tree.html' target='_blank'><tt>boost_tree</tt></a>,regression,agua
Boosted trees via lightgbm,boost_tree,lightgbm,https://parsnip.tidymodels.org/reference/details_boost_tree_lightgbm.html,<a href='https://parsnip.tidymodels.org/reference/details_boost_tree_lightgbm.html' target='_blank'><tt>boost_tree_lightgbm</tt></a>,regression,bonsai
Boosted trees via lightgbm,boost_tree,lightgbm,https://parsnip.tidymodels.org/reference/details_boost_tree_lightgbm.html,<a href='https://parsnip.tidymodels.org/reference/details_boost_tree_lightgbm.html' target='_blank'><tt>boost_tree_lightgbm</tt></a>,classification,bonsai
Boosted trees,boost_tree,mboost,https://parsnip.tidymodels.org/reference/details_boost_tree_mboost.html,<a href='https://parsnip.tidymodels.org/reference/details_boost_tree_mboost.html' target='_blank'><tt>boost_tree_mboost</tt></a>,censored regression,censored
Boosted trees via Spark,boost_tree,spark,https://parsnip.tidymodels.org/reference/details_boost_tree_spark.html,<a href='https://parsnip.tidymodels.org/reference/details_boost_tree_spark.html' target='_blank'><tt>boost_tree_spark</tt></a>,classification,parsnip
Boosted trees via Spark,boost_tree,spark,https://parsnip.tidymodels.org/reference/details_boost_tree_spark.html,<a href='https://parsnip.tidymodels.org/reference/details_boost_tree_spark.html' target='_blank'><tt>boost_tree_spark</tt></a>,regression,parsnip
Boosted trees via xgboost,boost_tree,xgboost,https://parsnip.tidymodels.org/reference/details_boost_tree_xgboost.html,<a href='https://parsnip.tidymodels.org/reference/details_boost_tree_xgboost.html' target='_blank'><tt>boost_tree_xgboost</tt></a>,classification,parsnip
Boosted trees via xgboost,boost_tree,xgboost,https://parsnip.tidymodels.org/reference/details_boost_tree_xgboost.html,<a href='https://parsnip.tidymodels.org/reference/details_boost_tree_xgboost.html' target='_blank'><tt>boost_tree_xgboost</tt></a>,regression,parsnip
Boosted trees via xgboost,boost_tree,xgboost,https://parsnip.tidymodels.org/reference/details_boost_tree_xgboost.html,<a href='https://parsnip.tidymodels.org/reference/details_boost_tree_xgboost.html' target='_blank'><tt>boost_tree_xgboost</tt></a>,quantile regression,parsnip
Boosted Poisson Trees with Offsets,boost_tree_offset,xgboost_offset,https://mattheaphy.github.io/offsetreg/reference/boost_tree_offset.html,<a href='https://mattheaphy.github.io/offsetreg/reference/boost_tree_offset.html' target='_blank'><tt>boost_tree_offset</tt></a>,regression,offsetreg
Chronos 2 model specification,chronos2_model,chronos2_model,https://microsoft.github.io/finnts/reference/chronos2_model.html,<a href='https://microsoft.github.io/finnts/reference/chronos2_model.html' target='_blank'><tt>chronos2_model</tt></a>,regression,finnts
Chronos Bolt Base model specification,chronos_bolt_base_model,chronos_bolt_base_model,https://microsoft.github.io/finnts/reference/chronos_bolt_base_model.html,<a href='https://microsoft.github.io/finnts/reference/chronos_bolt_base_model.html' target='_blank'><tt>chronos_bolt_base_model</tt></a>,regression,finnts
Chronos Bolt Tiny model specification,chronos_bolt_tiny_model,chronos_bolt_tiny_model,https://microsoft.github.io/finnts/reference/chronos_bolt_tiny_model.html,<a href='https://microsoft.github.io/finnts/reference/chronos_bolt_tiny_model.html' target='_blank'><tt>chronos_bolt_tiny_model</tt></a>,regression,finnts
Cosinor Regression Models,cosinor_reg,card,https://cran.r-project.org/package=card,<a href='https://cran.r-project.org/package=card' target='_blank'><tt>cosinor_reg</tt></a>,regression,card
CUBIST Multistep Horizon,cubist_multistep,cubist_multistep_horizon,https://microsoft.github.io/finnts/reference/cubist_multistep.html,<a href='https://microsoft.github.io/finnts/reference/cubist_multistep.html' target='_blank'><tt>cubist_multistep</tt></a>,regression,rules
Cubist rule-based regression models,cubist_rules,Cubist,https://parsnip.tidymodels.org/reference/details_cubist_rules_Cubist.html,<a href='https://parsnip.tidymodels.org/reference/details_cubist_rules_Cubist.html' target='_blank'><tt>cubist_rules_Cubist</tt></a>,regression,rules
Decision trees via C5.0,decision_tree,C5.0,https://parsnip.tidymodels.org/reference/details_decision_tree_C5.0.html,<a href='https://parsnip.tidymodels.org/reference/details_decision_tree_C5.0.html' target='_blank'><tt>decision_tree_C5.0</tt></a>,classification,parsnip
Decision trees via Conditional Inference using partykit,decision_tree,partykit,https://parsnip.tidymodels.org/reference/details_decision_tree_partykit.html,<a href='https://parsnip.tidymodels.org/reference/details_decision_tree_partykit.html' target='_blank'><tt>decision_tree_partykit</tt></a>,regression,bonsai
Decision trees via Conditional Inference using partykit,decision_tree,partykit,https://parsnip.tidymodels.org/reference/details_decision_tree_partykit.html,<a href='https://parsnip.tidymodels.org/reference/details_decision_tree_partykit.html' target='_blank'><tt>decision_tree_partykit</tt></a>,classification,bonsai
Decision trees via Conditional Inference using partykit,decision_tree,partykit,https://parsnip.tidymodels.org/reference/details_decision_tree_partykit.html,<a href='https://parsnip.tidymodels.org/reference/details_decision_tree_partykit.html' target='_blank'><tt>decision_tree_partykit</tt></a>,censored regression,censored
Decision trees via CART,decision_tree,rpart,https://parsnip.tidymodels.org/reference/details_decision_tree_rpart.html,<a href='https://parsnip.tidymodels.org/reference/details_decision_tree_rpart.html' target='_blank'><tt>decision_tree_rpart</tt></a>,classification,parsnip
Decision trees via CART,decision_tree,rpart,https://parsnip.tidymodels.org/reference/details_decision_tree_rpart.html,<a href='https://parsnip.tidymodels.org/reference/details_decision_tree_rpart.html' target='_blank'><tt>decision_tree_rpart</tt></a>,regression,parsnip
Decision trees via CART,decision_tree,rpart,https://parsnip.tidymodels.org/reference/details_decision_tree_rpart.html,<a href='https://parsnip.tidymodels.org/reference/details_decision_tree_rpart.html' target='_blank'><tt>decision_tree_rpart</tt></a>,censored regression,censored
Ordinal decision trees via CART,decision_tree,rpartScore,https://parsnip.tidymodels.org/reference/details_decision_tree_rpartScore.html,<a href='https://parsnip.tidymodels.org/reference/details_decision_tree_rpartScore.html' target='_blank'><tt>decision_tree_rpartScore</tt></a>,classification,ordered
Decision trees via Spark,decision_tree,spark,https://parsnip.tidymodels.org/reference/details_decision_tree_spark.html,<a href='https://parsnip.tidymodels.org/reference/details_decision_tree_spark.html' target='_blank'><tt>decision_tree_spark</tt></a>,classification,parsnip
Decision trees via Spark,decision_tree,spark,https://parsnip.tidymodels.org/reference/details_decision_tree_spark.html,<a href='https://parsnip.tidymodels.org/reference/details_decision_tree_spark.html' target='_blank'><tt>decision_tree_spark</tt></a>,regression,parsnip
Poisson Decision Trees with Exposures,decision_tree_exposure,rpart_exposure,https://mattheaphy.github.io/offsetreg/reference/decision_tree_exposure.html,<a href='https://mattheaphy.github.io/offsetreg/reference/decision_tree_exposure.html' target='_blank'><tt>decision_tree_exposure</tt></a>,regression,offsetreg
Flexible discriminant analysis via earth,discrim_flexible,earth,https://parsnip.tidymodels.org/reference/details_discrim_flexible_earth.html,<a href='https://parsnip.tidymodels.org/reference/details_discrim_flexible_earth.html' target='_blank'><tt>discrim_flexible_earth</tt></a>,classification,discrim
Linear discriminant analysis via MASS,discrim_linear,MASS,https://parsnip.tidymodels.org/reference/details_discrim_linear_MASS.html,<a href='https://parsnip.tidymodels.org/reference/details_discrim_linear_MASS.html' target='_blank'><tt>discrim_linear_MASS</tt></a>,classification,discrim
Linear discriminant analysis via flexible discriminant analysis,discrim_linear,mda,https://parsnip.tidymodels.org/reference/details_discrim_linear_mda.html,<a href='https://parsnip.tidymodels.org/reference/details_discrim_linear_mda.html' target='_blank'><tt>discrim_linear_mda</tt></a>,classification,discrim
Linear discriminant analysis via James-Stein-type shrinkage estimation,discrim_linear,sda,https://parsnip.tidymodels.org/reference/details_discrim_linear_sda.html,<a href='https://parsnip.tidymodels.org/reference/details_discrim_linear_sda.html' target='_blank'><tt>discrim_linear_sda</tt></a>,classification,discrim
Linear discriminant analysis via regularization,discrim_linear,sparsediscrim,https://parsnip.tidymodels.org/reference/details_discrim_linear_sparsediscrim.html,<a href='https://parsnip.tidymodels.org/reference/details_discrim_linear_sparsediscrim.html' target='_blank'><tt>discrim_linear_sparsediscrim</tt></a>,classification,discrim
Quadratic discriminant analysis via MASS,discrim_quad,MASS,https://parsnip.tidymodels.org/reference/details_discrim_quad_MASS.html,<a href='https://parsnip.tidymodels.org/reference/details_discrim_quad_MASS.html' target='_blank'><tt>discrim_quad_MASS</tt></a>,classification,discrim
Quadratic discriminant analysis via regularization,discrim_quad,sparsediscrim,https://parsnip.tidymodels.org/reference/details_discrim_quad_sparsediscrim.html,<a href='https://parsnip.tidymodels.org/reference/details_discrim_quad_sparsediscrim.html' target='_blank'><tt>discrim_quad_sparsediscrim</tt></a>,classification,discrim
Regularized discriminant analysis via klaR,discrim_regularized,klaR,https://parsnip.tidymodels.org/reference/details_discrim_regularized_klaR.html,<a href='https://parsnip.tidymodels.org/reference/details_discrim_regularized_klaR.html' target='_blank'><tt>discrim_regularized_klaR</tt></a>,classification,discrim
Exponential Smoothing State Space Models,exp_smoothing,croston,https://business-science.github.io/modeltime/reference/exp_smoothing.html,<a href='https://business-science.github.io/modeltime/reference/exp_smoothing.html' target='_blank'><tt>exp_smoothing</tt></a>,regression,modeltime
Exponential Smoothing State Space Models,exp_smoothing,ets,https://business-science.github.io/modeltime/reference/exp_smoothing.html,<a href='https://business-science.github.io/modeltime/reference/exp_smoothing.html' target='_blank'><tt>exp_smoothing</tt></a>,regression,modeltime
Exponential Smoothing State Space Models,exp_smoothing,smooth_es,https://business-science.github.io/modeltime/reference/exp_smoothing.html,<a href='https://business-science.github.io/modeltime/reference/exp_smoothing.html' target='_blank'><tt>exp_smoothing</tt></a>,regression,modeltime
Exponential Smoothing State Space Models,exp_smoothing,theta,https://business-science.github.io/modeltime/reference/exp_smoothing.html,<a href='https://business-science.github.io/modeltime/reference/exp_smoothing.html' target='_blank'><tt>exp_smoothing</tt></a>,regression,modeltime
FIGS Model Specification for Parsnip,figs_tree,figsr,https://github.com/bonijoao/figsr,<a href='https://github.com/bonijoao/figsr' target='_blank'><tt>figs_tree</tt></a>,regression,figsr
FIGS Model Specification for Parsnip,figs_tree,figsr,https://github.com/bonijoao/figsr,<a href='https://github.com/bonijoao/figsr' target='_blank'><tt>figs_tree</tt></a>,classification,figsr
Generalized additive models via mgcv,gen_additive_mod,mgcv,https://parsnip.tidymodels.org/reference/details_gen_additive_mod_mgcv.html,<a href='https://parsnip.tidymodels.org/reference/details_gen_additive_mod_mgcv.html' target='_blank'><tt>gen_additive_mod_mgcv</tt></a>,regression,parsnip
Generalized additive models via mgcv,gen_additive_mod,mgcv,https://parsnip.tidymodels.org/reference/details_gen_additive_mod_mgcv.html,<a href='https://parsnip.tidymodels.org/reference/details_gen_additive_mod_mgcv.html' target='_blank'><tt>gen_additive_mod_mgcv</tt></a>,classification,parsnip
Ordinal generalized additive model via vector GAMs,gen_additive_mod,vgam,https://parsnip.tidymodels.org/reference/details_gen_additive_mod_vgam.html,<a href='https://parsnip.tidymodels.org/reference/details_gen_additive_mod_vgam.html' target='_blank'><tt>gen_additive_mod_vgam</tt></a>,classification,ordered
GLMNET Multistep Horizon,glmnet_multistep,glmnet_multistep_horizon,https://microsoft.github.io/finnts/reference/glmnet_multistep.html,<a href='https://microsoft.github.io/finnts/reference/glmnet_multistep.html' target='_blank'><tt>glmnet_multistep</tt></a>,regression,parsnip
Kernel Ridge Regression,krr_reg,fastkrr,https://github.com/kybak90/FastKRR,<a href='https://github.com/kybak90/FastKRR' target='_blank'><tt>krr_reg</tt></a>,regression,FastKRR
Linear regression via brulee,linear_reg,brulee,https://parsnip.tidymodels.org/reference/details_linear_reg_brulee.html,<a href='https://parsnip.tidymodels.org/reference/details_linear_reg_brulee.html' target='_blank'><tt>linear_reg_brulee</tt></a>,regression,parsnip
Linear regression via generalized estimating equations (GEE),linear_reg,gee,https://parsnip.tidymodels.org/reference/details_linear_reg_gee.html,<a href='https://parsnip.tidymodels.org/reference/details_linear_reg_gee.html' target='_blank'><tt>linear_reg_gee</tt></a>,regression,multilevelmod
Linear regression via glm,linear_reg,glm,https://parsnip.tidymodels.org/reference/details_linear_reg_glm.html,<a href='https://parsnip.tidymodels.org/reference/details_linear_reg_glm.html' target='_blank'><tt>linear_reg_glm</tt></a>,regression,parsnip
Linear regression via generalized mixed models,linear_reg,glmer,https://parsnip.tidymodels.org/reference/details_linear_reg_glmer.html,<a href='https://parsnip.tidymodels.org/reference/details_linear_reg_glmer.html' target='_blank'><tt>linear_reg_glmer</tt></a>,regression,multilevelmod
