title,func,topic,url,package
Add intercept (or constant) column,step_intercept,<a href='https://recipes.tidymodels.org/reference/step_intercept.html' target='_blank'><tt>step_intercept</tt></a>,https://recipes.tidymodels.org/reference/step_intercept.html,recipes
Add manydist dissimilarities to a recipe,step_mdist,<a href='https://alfonsoiodicede.github.io/manydist_package/reference/step_mdist.html' target='_blank'><tt>step_mdist</tt></a>,https://alfonsoiodicede.github.io/manydist_package/reference/step_mdist.html,manydist
Add new variables using dplyr,step_mutate,<a href='https://recipes.tidymodels.org/reference/step_mutate.html' target='_blank'><tt>step_mutate</tt></a>,https://recipes.tidymodels.org/reference/step_mutate.html,recipes
Add sin and cos terms for harmonic analysis,step_harmonic,<a href='https://recipes.tidymodels.org/reference/step_harmonic.html' target='_blank'><tt>step_harmonic</tt></a>,https://recipes.tidymodels.org/reference/step_harmonic.html,recipes
Algebraic Functions Vectorization of Persistent Homology,step_vpd_algebraic_functions,<a href='https://github.com/tdaverse/tdarec' target='_blank'><tt>step_vpd_algebraic_functions</tt></a>,https://github.com/tdaverse/tdarec,tdarec
Apply Adaptive Synthetic Algorithm,step_adasyn,<a href='https://themis.tidymodels.org/reference/step_adasyn.html' target='_blank'><tt>step_adasyn</tt></a>,https://themis.tidymodels.org/reference/step_adasyn.html,themis
Apply Borderline-SMOTE Algorithm,step_bsmote,<a href='https://themis.tidymodels.org/reference/step_bsmote.html' target='_blank'><tt>step_bsmote</tt></a>,https://themis.tidymodels.org/reference/step_bsmote.html,themis
Apply KMeans-SMOTE Algorithm,step_kmeans_smote,<a href='https://themis.tidymodels.org/reference/step_kmeans_smote.html' target='_blank'><tt>step_kmeans_smote</tt></a>,https://themis.tidymodels.org/reference/step_kmeans_smote.html,themis
Apply ROSE Algorithm,step_rose,<a href='https://themis.tidymodels.org/reference/step_rose.html' target='_blank'><tt>step_rose</tt></a>,https://themis.tidymodels.org/reference/step_rose.html,themis
Apply SMOGN Algorithm,step_smogn,<a href='https://themis.tidymodels.org/reference/step_smogn.html' target='_blank'><tt>step_smogn</tt></a>,https://themis.tidymodels.org/reference/step_smogn.html,themis
Apply (smoothed) rectified linear transformation,step_relu,<a href='https://recipes.tidymodels.org/reference/step_relu.html' target='_blank'><tt>step_relu</tt></a>,https://recipes.tidymodels.org/reference/step_relu.html,recipes
Apply SMOTE Algorithm,step_smote,<a href='https://themis.tidymodels.org/reference/step_smote.html' target='_blank'><tt>step_smote</tt></a>,https://themis.tidymodels.org/reference/step_smote.html,themis
Apply SMOTEN Algorithm,step_smoten,<a href='https://themis.tidymodels.org/reference/step_smoten.html' target='_blank'><tt>step_smoten</tt></a>,https://themis.tidymodels.org/reference/step_smoten.html,themis
Apply SMOTENC Algorithm,step_smotenc,<a href='https://themis.tidymodels.org/reference/step_smotenc.html' target='_blank'><tt>step_smotenc</tt></a>,https://themis.tidymodels.org/reference/step_smotenc.html,themis
Apply SVM-SMOTE Algorithm,step_svmsmote,<a href='https://themis.tidymodels.org/reference/step_svmsmote.html' target='_blank'><tt>step_svmsmote</tt></a>,https://themis.tidymodels.org/reference/step_svmsmote.html,themis
"Assign missing categories to ""unknown""",step_unknown,<a href='https://recipes.tidymodels.org/reference/step_unknown.html' target='_blank'><tt>step_unknown</tt></a>,https://recipes.tidymodels.org/reference/step_unknown.html,recipes
Basis splines,step_spline_b,<a href='https://recipes.tidymodels.org/reference/step_spline_b.html' target='_blank'><tt>step_spline_b</tt></a>,https://recipes.tidymodels.org/reference/step_spline_b.html,recipes
Betti Curve Vectorization of Persistent Homology,step_vpd_betti_curve,<a href='https://github.com/tdaverse/tdarec' target='_blank'><tt>step_vpd_betti_curve</tt></a>,https://github.com/tdaverse/tdarec,tdarec
Blur raster data,step_blur,<a href='https://github.com/tdaverse/tdarec' target='_blank'><tt>step_blur</tt></a>,https://github.com/tdaverse/tdarec,tdarec
Box-Cox transformation for non-negative data,step_BoxCox,<a href='https://recipes.tidymodels.org/reference/step_BoxCox.html' target='_blank'><tt>step_BoxCox</tt></a>,https://recipes.tidymodels.org/reference/step_BoxCox.html,recipes
Box-Cox Transformation using Forecast Methods,step_box_cox,<a href='https://business-science.github.io/timetk/reference/step_box_cox.html' target='_blank'><tt>step_box_cox</tt></a>,https://business-science.github.io/timetk/reference/step_box_cox.html,timetk
BPE Tokenization of Character Variables,step_tokenize_bpe,<a href='https://textrecipes.tidymodels.org/reference/step_tokenize_bpe.html' target='_blank'><tt>step_tokenize_bpe</tt></a>,https://textrecipes.tidymodels.org/reference/step_tokenize_bpe.html,textrecipes
B-spline basis functions,step_bs,<a href='https://recipes.tidymodels.org/reference/step_bs.html' target='_blank'><tt>step_bs</tt></a>,https://recipes.tidymodels.org/reference/step_bs.html,recipes
Build a Sliding Window of Predictors for Sequence Models,step_sequence,<a href='https://davidrsch.github.io/kerasnip/reference/step_sequence.html' target='_blank'><tt>step_sequence</tt></a>,https://davidrsch.github.io/kerasnip/reference/step_sequence.html,kerasnip
Calculate LDA Dimension Estimates of Tokens,step_lda,<a href='https://textrecipes.tidymodels.org/reference/step_lda.html' target='_blank'><tt>step_lda</tt></a>,https://textrecipes.tidymodels.org/reference/step_lda.html,textrecipes
Calculate Set of Text Features,step_textfeature,<a href='https://textrecipes.tidymodels.org/reference/step_textfeature.html' target='_blank'><tt>step_textfeature</tt></a>,https://textrecipes.tidymodels.org/reference/step_textfeature.html,textrecipes
Center and scale numeric data,step_normalize,<a href='https://recipes.tidymodels.org/reference/step_normalize.html' target='_blank'><tt>step_normalize</tt></a>,https://recipes.tidymodels.org/reference/step_normalize.html,recipes
Centering numeric data,step_center,<a href='https://recipes.tidymodels.org/reference/step_center.html' target='_blank'><tt>step_center</tt></a>,https://recipes.tidymodels.org/reference/step_center.html,recipes
Centering numeric data to a value besides their mean,step_center_to,<a href='https://petersonr.github.io/sparseR/reference/step_center_to.html' target='_blank'><tt>step_center_to</tt></a>,https://petersonr.github.io/sparseR/reference/step_center_to.html,sparseR
Clean Categorical Levels,step_clean_levels,<a href='https://textrecipes.tidymodels.org/reference/step_clean_levels.html' target='_blank'><tt>step_clean_levels</tt></a>,https://textrecipes.tidymodels.org/reference/step_clean_levels.html,textrecipes
Clean Outliers and Missing Data for Time Series,step_ts_clean,<a href='https://business-science.github.io/timetk/reference/step_ts_clean.html' target='_blank'><tt>step_ts_clean</tt></a>,https://business-science.github.io/timetk/reference/step_ts_clean.html,timetk
Clean Variable Names,step_clean_names,<a href='https://textrecipes.tidymodels.org/reference/step_clean_names.html' target='_blank'><tt>step_clean_names</tt></a>,https://textrecipes.tidymodels.org/reference/step_clean_names.html,textrecipes
