value,title,func,topic,url,package
step_count,Create counts of patterns using regular expressions,step_count,<a href='https://recipes.tidymodels.org/reference/step_count.html' target='_blank'><tt>step_count</tt></a>,https://recipes.tidymodels.org/reference/step_count.html,recipes
step_dummy,Create traditional dummy variables,step_dummy,<a href='https://recipes.tidymodels.org/reference/step_dummy.html' target='_blank'><tt>step_dummy</tt></a>,https://recipes.tidymodels.org/reference/step_dummy.html,recipes
step_dummy_extract,Extract patterns from nominal data,step_dummy_extract,<a href='https://recipes.tidymodels.org/reference/step_dummy_extract.html' target='_blank'><tt>step_dummy_extract</tt></a>,https://recipes.tidymodels.org/reference/step_dummy_extract.html,recipes
step_dummy_hash,Indicator Variables via Feature Hashing,step_dummy_hash,<a href='https://textrecipes.tidymodels.org/reference/step_dummy_hash.html' target='_blank'><tt>step_dummy_hash</tt></a>,https://textrecipes.tidymodels.org/reference/step_dummy_hash.html,textrecipes
step_dummy_multi_choice,Handle levels in multiple predictors together,step_dummy_multi_choice,<a href='https://recipes.tidymodels.org/reference/step_dummy_multi_choice.html' target='_blank'><tt>step_dummy_multi_choice</tt></a>,https://recipes.tidymodels.org/reference/step_dummy_multi_choice.html,recipes
step_holiday,Holiday feature generator,step_holiday,<a href='https://recipes.tidymodels.org/reference/step_holiday.html' target='_blank'><tt>step_holiday</tt></a>,https://recipes.tidymodels.org/reference/step_holiday.html,recipes
step_indicate_na,Create missing data column indicators,step_indicate_na,<a href='https://recipes.tidymodels.org/reference/step_indicate_na.html' target='_blank'><tt>step_indicate_na</tt></a>,https://recipes.tidymodels.org/reference/step_indicate_na.html,recipes
step_regex,Detect a regular expression,step_regex,<a href='https://recipes.tidymodels.org/reference/step_regex.html' target='_blank'><tt>step_regex</tt></a>,https://recipes.tidymodels.org/reference/step_regex.html,recipes
step_texthash,Feature Hashing of Tokens,step_texthash,<a href='https://textrecipes.tidymodels.org/reference/step_texthash.html' target='_blank'><tt>step_texthash</tt></a>,https://textrecipes.tidymodels.org/reference/step_texthash.html,textrecipes
step_tf,Term frequency of Tokens,step_tf,<a href='https://textrecipes.tidymodels.org/reference/step_tf.html' target='_blank'><tt>step_tf</tt></a>,https://textrecipes.tidymodels.org/reference/step_tf.html,textrecipes
step_tfidf,Term Frequency-Inverse Document Frequency of Tokens,step_tfidf,<a href='https://textrecipes.tidymodels.org/reference/step_tfidf.html' target='_blank'><tt>step_tfidf</tt></a>,https://textrecipes.tidymodels.org/reference/step_tfidf.html,textrecipes
