value,title,func,topic,url,package
step_arrange,Sort rows using dplyr,step_arrange,<a href='https://recipes.tidymodels.org/reference/step_arrange.html' target='_blank'><tt>step_arrange</tt></a>,https://recipes.tidymodels.org/reference/step_arrange.html,recipes
step_filter,Filter rows using dplyr,step_filter,<a href='https://recipes.tidymodels.org/reference/step_filter.html' target='_blank'><tt>step_filter</tt></a>,https://recipes.tidymodels.org/reference/step_filter.html,recipes
step_filter_missing,Missing value column filter,step_filter_missing,<a href='https://recipes.tidymodels.org/reference/step_filter_missing.html' target='_blank'><tt>step_filter_missing</tt></a>,https://recipes.tidymodels.org/reference/step_filter_missing.html,recipes
step_impute_mean,Impute numeric data using the mean,step_impute_mean,<a href='https://recipes.tidymodels.org/reference/step_impute_mean.html' target='_blank'><tt>step_impute_mean</tt></a>,https://recipes.tidymodels.org/reference/step_impute_mean.html,recipes
step_impute_median,Impute numeric data using the median,step_impute_median,<a href='https://recipes.tidymodels.org/reference/step_impute_median.html' target='_blank'><tt>step_impute_median</tt></a>,https://recipes.tidymodels.org/reference/step_impute_median.html,recipes
step_lag,Create a lagged predictor,step_lag,<a href='https://recipes.tidymodels.org/reference/step_lag.html' target='_blank'><tt>step_lag</tt></a>,https://recipes.tidymodels.org/reference/step_lag.html,recipes
step_naomit,Remove observations with missing values,step_naomit,<a href='https://recipes.tidymodels.org/reference/step_naomit.html' target='_blank'><tt>step_naomit</tt></a>,https://recipes.tidymodels.org/reference/step_naomit.html,recipes
step_rename,Rename variables by name using dplyr,step_rename,<a href='https://recipes.tidymodels.org/reference/step_rename.html' target='_blank'><tt>step_rename</tt></a>,https://recipes.tidymodels.org/reference/step_rename.html,recipes
step_rename_at,Rename multiple columns using dplyr,step_rename_at,<a href='https://recipes.tidymodels.org/reference/step_rename_at.html' target='_blank'><tt>step_rename_at</tt></a>,https://recipes.tidymodels.org/reference/step_rename_at.html,recipes
step_rm,General variable filter,step_rm,<a href='https://recipes.tidymodels.org/reference/step_rm.html' target='_blank'><tt>step_rm</tt></a>,https://recipes.tidymodels.org/reference/step_rm.html,recipes
step_sample,Sample rows using dplyr,step_sample,<a href='https://recipes.tidymodels.org/reference/step_sample.html' target='_blank'><tt>step_sample</tt></a>,https://recipes.tidymodels.org/reference/step_sample.html,recipes
step_scale,Scaling numeric data,step_scale,<a href='https://recipes.tidymodels.org/reference/step_scale.html' target='_blank'><tt>step_scale</tt></a>,https://recipes.tidymodels.org/reference/step_scale.html,recipes
step_select,Select variables using dplyr,step_select,<a href='https://recipes.tidymodels.org/reference/step_select.html' target='_blank'><tt>step_select</tt></a>,https://recipes.tidymodels.org/reference/step_select.html,recipes
step_shuffle,Shuffle variables,step_shuffle,<a href='https://recipes.tidymodels.org/reference/step_shuffle.html' target='_blank'><tt>step_shuffle</tt></a>,https://recipes.tidymodels.org/reference/step_shuffle.html,recipes
step_slice,Filter rows by position using dplyr,step_slice,<a href='https://recipes.tidymodels.org/reference/step_slice.html' target='_blank'><tt>step_slice</tt></a>,https://recipes.tidymodels.org/reference/step_slice.html,recipes
step_sqrt,Square root transformation,step_sqrt,<a href='https://recipes.tidymodels.org/reference/step_sqrt.html' target='_blank'><tt>step_sqrt</tt></a>,https://recipes.tidymodels.org/reference/step_sqrt.html,recipes
step_zv,Zero variance filter,step_zv,<a href='https://recipes.tidymodels.org/reference/step_zv.html' target='_blank'><tt>step_zv</tt></a>,https://recipes.tidymodels.org/reference/step_zv.html,recipes
