package,version,file_out,functions,title,internal,all_urls
agua,0.1.4,agua-package.html,agua-package,tidymodels integration with h2o,TRUE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,agua-package.html,_PACKAGE,tidymodels integration with h2o,TRUE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,agua-package.html,agua,tidymodels integration with h2o,TRUE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,as_h2o.html,as_h2o,Data conversion tools,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,as_h2o.html,as_tibble.H2OFrame,Data conversion tools,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,automl-autoplot.html,autoplot.workflow,Plot rankings and metrics of H2O AutoML results,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,automl-autoplot.html,autoplot.H2OAutoML,Plot rankings and metrics of H2O AutoML results,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,automl-tools.html,rank_results.workflow,Tools for working with H2O AutoML results,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,automl-tools.html,rank_results._H2OAutoML,Tools for working with H2O AutoML results,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,automl-tools.html,rank_results.H2OAutoML,Tools for working with H2O AutoML results,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,automl-tools.html,collect_metrics.workflow,Tools for working with H2O AutoML results,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,automl-tools.html,collect_metrics._H2OAutoML,Tools for working with H2O AutoML results,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,automl-tools.html,collect_metrics.H2OAutoML,Tools for working with H2O AutoML results,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,automl-tools.html,tidy._H2OAutoML,Tools for working with H2O AutoML results,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,automl-tools.html,get_leaderboard,Tools for working with H2O AutoML results,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,automl-tools.html,member_weights,Tools for working with H2O AutoML results,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,automl-tools.html,extract_fit_parsnip._H2OAutoML,Tools for working with H2O AutoML results,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,automl-tools.html,extract_fit_engine._H2OAutoML,Tools for working with H2O AutoML results,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,automl-tools.html,refit.workflow,Tools for working with H2O AutoML results,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,automl-tools.html,refit._H2OAutoML,Tools for working with H2O AutoML results,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,h2o-print.html,print.h2o_fit,Print wrappers for h2o models,TRUE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,h2o-print.html,print.H2OAutoML_fit,Print wrappers for h2o models,TRUE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,h2o-print.html,print.H2OAutoML,Print wrappers for h2o models,TRUE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,h2o-server.html,h2o_start,Utility functions for interacting with the h2o server,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,h2o-server.html,h2o_end,Utility functions for interacting with the h2o server,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,h2o-server.html,h2o_running,Utility functions for interacting with the h2o server,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,h2o-server.html,h2o_remove,Utility functions for interacting with the h2o server,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
agua,0.1.4,h2o-server.html,h2o_remove_all,Utility functions for interacting with the h2o server,FALSE,https://agua.tidymodels.org/|https://github.com/tidymodels/agua
